Water; Fire; N/A
Thrain; Dark; 91
Maggi; Dark; 104
Taru; Light; 114
Cheryl; Light; 111
Arkajan; Light; 101
Shamar; Light; 111
Sharman; Light; 99
Shushu; Light; 99
Jansson; Light; 97
Neal; Light; 101
Kabilla; Light; 120
Lusha; Light; 102
Priz; Light; 107
Teon; Light; 95
Belladeon; Light; 108
Elpuria; Light; 100
Groggo; Light; 91
Shamann; Light; 111
Eludain; Light; 95
Shren; Light; 104
Ahman; Light; 101
Eshir; Light; 115
Lyn; Light; 102
Xiao Ling; Light; 104
Darion; Light; 98
Walkers; Light; 110
Shaffron; Light; 102
Linda; Light; 97
Prom; Light; 91
Silver; Light; 98
Fami; Light; 105
Tien Qin; Light; 99
Grotau; Light; 99
Glinodon; Light; 103
Baekdu; Light; 100
Fran; Light; 103
Dona; Light; 105
Marble; Light; 99
Rumicus; Light; 105
Hiro; Light; 99
Sahara; Light; 97
Driller; Light; 98
Lucien; Light; 101
Loren; Light; 102
Chamie; Light; 102
Icasha; Light; 96
Eredas; Light; 105
Mihael; Light; 103
Aria; Light; 106
Figaro; Light; 103
Eva; Light; 103
Iona; Light; 111
Pang; Light; 104
Conrad; Light; 101
Halphas; Light; 96
Tosi; Light; 120
Liu Mei; Light; 102
Gemini; Light; 106
Dover; Light; 99
Hwadam; Light; 104
Mimirr; Light; 103
Brig; Light; 108
Molly; Light; 95
Iris; Light; 105
Natalie; Light; 102
Illianna; Light; 104
Amarna; Light; 101
Misty; Light; 101
Dova; Light; 105
Tablo; Light; 102
Deva; Light; 103
Bailey; Light; 101
Felleria; Light; 104
Einheri; Light; 96
Magnum; Light; 97
Emily; Light; 103
Phenaka; Light; 93
Dongbaek; Light; 107
Akroma; Light; 116
Zerath; Light; 98
Eludia; Light; 99
Julianne; Light; 99
Laima; Light; 100
Lora; Light; 119
Jager; Light; 100
Qitian Dasheng; Light; 114
Artamiel; Light; 95
Shazam; Light; 96
Asima; Light; 104
Yeonhong; Light; 116
Nigong; Light; 103
Elenoa; Light; 111
Elsharion; Light; 100
Pontos; Light; 101
Wedjat; Light; 102
Isis; Light; 99
Oberon; Light; 98
Tian Lang; Light; 96
Celia; Light; 113
Eleanor; Light; 100
Jeanne; Light; 102
Valantis; Light; 99
Geldnir; Light; 102
Lucifer; Light; 104
Neal; Light; 101
Cheryl; Light; 111
Lusha; Light; 102
Belladeon; Light; 108
Shushu; Light; 99
Prom; Light; 91
Glinodon; Light; 103
